 ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.000    0.000 __init__.py:194(warn_external)
       12    0.000    0.000    0.000    0.000 __init__.py:1942(get_aliased_and_aliases)
       56    0.000    0.000    0.000    0.000 __init__.py:1943(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:195(_initialize_astropy)
        1    0.000    0.000    0.000    0.000 __init__.py:195(c_double)
        6    0.000    0.000    0.000    0.000 __init__.py:199(_logged_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:199(c_longdouble)
       10    0.000    0.000    0.077    0.008 __init__.py:2(<module>)
       28    0.000    0.000    0.001    0.000 __init__.py:200(connect)
       36    0.000    0.000    0.001    0.000 __init__.py:2014(getLogger)
     2356    0.004    0.000    0.006    0.000 __init__.py:2094(_setattr_cm)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:213(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:2138(_OrderedSet)
        4    0.000    0.000    0.000    0.000 __init__.py:2139(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:214(EscapeFormatter)
       45    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2143(NullHandler)
        2    0.000    0.000    0.000    0.000 __init__.py:2151(add)
        1    0.000    0.000    0.000    0.000 __init__.py:216(<listcomp>)
      123    0.000    0.000    0.000    0.000 __init__.py:218(wrapper)
        4    0.000    0.000    0.033    0.008 __init__.py:2181(_unmultiplied_rgba8888_to_premultiplied_argb32)
        1    0.000    0.000    0.000    0.000 __init__.py:22(<listcomp>)
        1    0.000    0.000    0.001    0.001 __init__.py:22(Conf)
        1    0.000    0.000    0.000    0.000 __init__.py:220(c_ubyte)
       45    0.000    0.000    0.000    0.000 __init__.py:223(_releaseLock)
        3    0.000    0.000    0.000    0.000 __init__.py:2259(_backend_module_name)
        1    0.000    0.000    0.000    0.000 __init__.py:226(_get_bibtex)
        1    0.000    0.000    0.000    0.000 __init__.py:2268(_setup_new_guiapp)
        1    0.000    0.000    0.000    0.000 __init__.py:227(c_byte)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:23(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:232(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:233(ExecutableNotFoundError)
        2    0.000    0.000    0.000    0.000 __init__.py:233(disconnect)
        1    0.000    0.000    0.000    0.000 __init__.py:237(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:242(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_void_p)
        2    0.000    0.000    0.000    0.000 __init__.py:244(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:248(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:253(_MarkupEscapeHelper)
        1    0.000    0.000    0.000    0.000 __init__.py:253(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:256(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:258(c_wchar)
2614/2612    0.004    0.000    0.009    0.000 __init__.py:259(process)
        1    0.000    0.000    0.004    0.004 __init__.py:26(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:26(_AttrDict)
        1    0.000    0.000    0.000    0.000 __init__.py:26(classproperty)
        1    0.000    0.000    0.000    0.000 __init__.py:261(_reset_cache)
        6    0.000    0.000    0.000    0.000 __init__.py:264(_assert_pid_not_reused)
        1    0.000    0.000    0.000    0.000 __init__.py:272(LogRecord)
        1    0.000    0.000    0.002    0.002 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 __init__.py:28(RTLD_for_MKL)
        1    0.000    0.000    0.000    0.000 __init__.py:280(silent_list)
        1    0.000    0.000    0.000    0.000 __init__.py:29(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:292(Process)
        8    0.000    0.000    0.002    0.000 __init__.py:299(loads)
        3    0.000    0.000    0.800    0.267 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:30(UnsupportedPythonError)
        1    0.000    0.000    0.001    0.001 __init__.py:31(Markup)
       80    0.003    0.000    0.007    0.000 __init__.py:313(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:314(IgnoredKeywordWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:318(CDLL)
        1    0.000    0.000    0.002    0.002 __init__.py:32(__enter__)
        1    0.000    0.000    0.000    0.000 __init__.py:325(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:328(_init)
        2    0.000    0.000    0.000    0.000 __init__.py:339(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:340(_sanity_check)
        3    0.000    0.000    0.000    0.000 __init__.py:35(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:37(__traceback_maker)
        2    0.000    0.000    0.000    0.000 __init__.py:375(_FuncPtr)
       12    0.000    0.000    0.000    0.000 __init__.py:38(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:384(YAMLObjectMetaclass)
      463    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:388(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:391(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:392(_get_xdg_config_dir)
        2    0.000    0.000    0.000    0.000 __init__.py:398(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:399(YAMLObject)
        1    0.000    0.000    0.001    0.001 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:40(YAMLLoadWarning)
        2    0.000    0.000    0.001    0.000 __init__.py:40(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:402(_get_xdg_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:404(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:41(TracebackParseError)
        3    0.000    0.000    0.000    0.000 __init__.py:411(<genexpr>)
